1	N	48
1	J	49
0	J	49
1	R	49
2	N	49
2	J	50
1	W	50
2	R	50
3	N	65
3	J	65
2	J	65
3	R	65
3	W	69
2	R	69
1	J	75
2	E	75
1	R	75
4	N	75
4	J	75
1	W	76
4	R	76
5	N	92
5	J	92
4	W	92
5	R	93
6	N	95
6	J	95
7	N	96
7	J	96
8	N	96
8	J	96
9	N	97
9	J	97
10	N	98
10	J	98
5	W	98
10	R	98
10	J	113
9	R	113
9	J	128
8	R	128
8	J	143
7	R	143
7	J	158
6	R	158
6	J	173
10	R	173
10	J	188
9	R	188
9	J	203
8	R	203
8	J	218
7	R	218
7	J	233
6	R	233
6	J	248
10	R	248
10	J	263
9	R	263
9	J	278
8	R	278
8	J	293
7	R	293
7	J	308
6	R	308
6	J	323
10	R	323
10	J	338
9	R	338
9	J	353
8	R	353
8	J	368
7	R	368
7	J	383
6	R	383
6	J	398
10	R	398
10	J	413
9	R	413
9	J	428
8	R	428
8	J	443
7	R	443
7	J	458
6	R	458
6	J	473
10	R	473
10	J	488
9	R	488
9	J	503
8	R	503
8	J	518
7	R	518
7	J	533
6	R	533
6	J	548
10	R	548
10	J	563
9	R	563
9	J	578
8	R	578
8	J	593
7	R	593
7	J	608
6	R	608
6	J	623
10	R	623
10	J	638
9	R	638
9	J	653
8	R	653
8	J	668
7	R	668
7	J	683
6	R	683
6	J	698
10	R	698
10	J	713
9	R	713
9	J	728
8	R	728
8	J	743
7	R	743
7	J	758
6	R	758
6	J	773
10	R	773
10	J	788
9	R	788
9	J	803
8	R	803
8	J	818
7	R	818
7	J	833
6	R	833
6	J	848
10	R	848
10	J	863
9	R	863
9	J	878
8	R	878
8	J	893
7	R	893
7	J	908
6	R	908
6	J	923
10	R	923
10	J	938
9	R	938
9	J	953
8	R	953
8	J	968
7	R	968
7	J	983
6	R	983
6	J	998
10	R	998
10	J	1013
9	R	1013
9	J	1028
8	R	1028
8	J	1043
7	R	1043
7	J	1058
6	R	1058
6	J	1073
10	R	1073
10	J	1088
9	R	1088
9	J	1103
8	R	1103
8	J	1118
7	R	1118
7	J	1133
6	R	1133
6	J	1148
10	R	1148
10	J	1163
9	R	1163
9	J	1178
8	R	1178
8	J	1193
7	R	1193
7	J	1208
6	R	1208
6	J	1223
10	R	1223
10	J	1238
9	R	1238
9	J	1253
8	R	1253
8	J	1268
7	R	1268
7	J	1283
6	R	1283
6	J	1298
10	R	1298
10	J	1313
9	R	1313
9	J	1328
8	R	1328
8	J	1343
7	R	1343
7	J	1358
6	R	1358
6	J	1373
10	R	1373
10	J	1388
9	R	1388
9	J	1403
8	R	1403
8	J	1418
7	R	1418
7	J	1433
6	R	1433
6	J	1448
10	R	1448
10	J	1463
9	R	1463
9	J	1478
8	R	1478
8	J	1493
7	R	1493
7	J	1508
6	R	1508
6	J	1523
10	R	1523
10	J	1538
9	R	1538
9	J	1553
8	R	1553
8	J	1568
7	R	1568
7	J	1583
6	R	1583
6	J	1598
10	R	1598
10	J	1613
9	R	1613
